Item,Comment,Warrior,Paladin,Hunter,Shaman,Druid,Rogue,Mage/Warlock,Priest
Bloodied Arcanite Reaper,2h str axe,1,1,0,0,0,0,0,0
Balanced Heartseeker,AP+agi dagger,1,0,1,1,1,1,0,0
Venerable Dal'Rend's Sacred Charge,1h AP sword,1,1,1,0,0,1,0,0
Charmed Ancient Bone Bow,AP bow,1,0,1,0,0,1,0,0
Dignified Headmaster's Charge,SP staff,0,0,0,1,1,0,1,1
Devout Aurastone Hammer,1h SP+mp5 mace,0,1,0,1,1,0,0,1
Venerable Mass of McGowan,1h AP+agi mace,1,1,0,1,1,1,0,0
Repurposed Lava Dredger,2h AP+agi mace,1,1,0,1,1,0,0,0
Polished Spaulders of Valor,plate,1,1,0,0,0,0,0,0
Polished Breastplate of Valor,plate,1,1,0,0,0,0,0,0
Champion Herod's Shoulder,AP mail,0,0,1,1,0,0,0,0
Champion's Deathdealer Breastplate,AP mail,0,0,1,1,0,0,0,0
Mystical Pauldrons of Elements,SP mail,0,option,0,1,0,0,0,0
Mystical Vest of Elements,SP mail,0,option,0,1,0,0,0,0
Stained Shadowcraft Spaulders,AP leather,0,0,0,0,1,1,0,0
Stained Shadowcraft Tunic,AP leather,0,0,0,0,1,1,0,0
Preened Ironfeather Shoulders,SP leather,0,0,0,0,1,0,0,0
Preened Ironfeather Breastplate,SP leather,0,0,0,0,1,0,0,0
Tattered Dreadmist Mantle,cloth,0,0,0,0,0,0,1,1
Tattered Dreadmist Robe,cloth,0,0,0,0,0,0,1,1
Swift Hand of Justice,haste+health reg trinket,1,1,1,1,1,1,0,0
Discerning Eye of the Beast,SP+mana reg trinket,0,1,0,1,1,0,1,1
Dread Pirate Ring,stam/hit/crit ring,1,1,1,1,1,1,1,1
